"day","time","home_team","away_team","home_points","away_points","numOT"
"2017-10-17","08:00 pm","CLE","BOS",129,97,0
"2017-10-17","10:30 pm","GSW","HOU",91,126,0
"2017-10-18","07:00 pm","IND","BRK",119,115,1
"2017-10-18","07:00 pm","DET","CHO",96,87,0
"2017-10-18","07:00 pm","ORL","MIA",95,76,0
"2017-10-18","07:00 pm","WAS","PHI",109,102,0
"2017-10-18","07:30 pm","BOS","MIL",108,117,0
"2017-10-18","08:00 pm","MEM","NOP",128,105,0
"2017-10-18","08:30 pm","DAL","ATL",107,105,0
"2017-10-18","09:00 pm","UTA","DEN",98,91,0
"2017-10-18","09:30 pm","SAS","MIN",133,89,0
"2017-10-18","10:00 pm","SAC","HOU",123,92,0
"2017-10-18","10:00 pm","PHO","POR",98,103,0
"2017-10-19","07:30 pm","TOR","CHI",86,105,0
"2017-10-19","08:00 pm","OKC","NYK",91,97,0
"2017-10-19","10:30 pm","LAL","LAC",99,107,0
"2017-10-20","07:00 pm","CHO","ATL",92,83,0
"2017-10-20","07:00 pm","PHI","BOS",106,128,0
"2017-10-20","07:00 pm","MIL","CLE",99,121,0
"2017-10-20","07:00 pm","WAS","DET",104,94,0
"2017-10-20","07:00 pm","IND","POR",89,111,0
"2017-10-20","07:30 pm","BRK","ORL",104,115,0
"2017-10-20","08:00 pm","MIN","UTA",95,96,0
"2017-10-20","08:30 pm","DAL","SAC",102,115,0
"2017-10-20","09:30 pm","NOP","GSW",109,112,0
"2017-10-20","10:00 pm","PHO","LAL",118,95,0
"2017-10-21","07:30 pm","TOR","PHI",90,106,0
"2017-10-21","08:00 pm","HOU","DAL",121,102,0
"2017-10-21","08:00 pm","NYK","DET",102,107,0
"2017-10-21","08:00 pm","MEM","GSW",111,104,0
"2017-10-21","08:00 pm","MIA","IND",98,107,0
"2017-10-21","08:00 pm","CLE","ORL",114,119,0
"2017-10-21","08:00 pm","CHI","SAS",116,102,0
"2017-10-21","08:30 pm","MIL","POR",96,109,0
"2017-10-21","09:00 pm","UTA","OKC",103,87,0
"2017-10-21","09:00 pm","DEN","SAC",100,120,0
"2017-10-21","10:30 pm","LAC","PHO",129,125,0
"2017-10-22","03:30 pm","BRK","ATL",113,125,0
"2017-10-22","07:00 pm","OKC","MIN",96,109,0
"2017-10-22","09:30 pm","LAL","NOP",108,75,0
"2017-10-23","07:00 pm","DET","PHI",116,102,0
