"Tm","TeamOffense","TeamDefense","Season","wins"
"ATL",100.982761248049,100.770694516039,"2017-2018",34.3022752777924
"BOS",110.744952470434,107.866656457586,"2017-2018",39.3880672421266
"BRK",106.009577969335,109.10662503928,"2017-2018",28.1384980626989
"CHI",99.8621702337043,99.4613306649504,"2017-2018",34.4987815813894
"CHO",109.968142222031,105.39076701418,"2017-2018",42.5466061907117
"CLE",113.067015451557,103.427573316221,"2017-2018",52.1623054233509
"DAL",105.550639780655,100.639654930838,"2017-2018",42.0730669295889
"DEN",110.03029598554,104.242003379426,"2017-2018",43.7345734843154
"DET",105.078815196508,102.568039478839,"2017-2018",38.5977445530916
"GSW",112.58438208344,101.522488389861,"2017-2018",53.7102641892273
"HOU",114.483611088395,103.071137614831,"2017-2018",54.2770346624944
"IND",102.342464747076,102.52907410638,"2017-2018",33.589455427523
"LAC",113.553948497714,105.266987170836,"2017-2018",48.4536010984527
"LAL",102.944451832237,104.222182212749,"2017-2018",30.398212660287
"MEM",108.657297231535,104.295060308411,"2017-2018",41.1683120274146
"MIA",104.395917774337,104.395469839057,"2017-2018",34.082403377205
"MIL",105.366758697287,101.832650427861,"2017-2018",40.3921384826265
"MIN",110.087146939415,106.116774305898,"2017-2018",40.4248879814736
"NOP",104.608705244096,102.939198326886,"2017-2018",35.4870954034518
"NYK",103.423646731688,98.9713676705594,"2017-2018",42.1981784607004
"OKC",108.659549895821,107.812675788152,"2017-2018",34.2618859659517
"ORL",104.597404450009,103.851337303359,"2017-2018",35.3576099556015
"PHI",113.274854229075,105.027063298266,"2017-2018",49.2884284859918
"PHO",112.860384091465,114.358291229788,"2017-2018",29.8082755050453
"POR",109.552544969905,102.710400514526,"2017-2018",45.7994627970133
"SAC",105.282709679658,100.213180357971,"2017-2018",42.5097394454907
"SAS",108.271762523747,101.219623313674,"2017-2018",46.1108873134408
"TOR",107.649435361811,99.6172913592253,"2017-2018",49.1630857646023
"UTA",100.118293295228,92.989770840873,"2017-2018",46.1344150456278
"WAS",109.899024007309,105.521474899562,"2017-2018",41.9427072053127
