"Tm","Season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS"
"ATL","2017-2018",27.3805195437328,0.451567100009907,0.279312879147008,0.493638999241187,0.508580231374023,0.765682795548762,0.149292443316149,0.332696174190087,0.0390093998166819,0.110687496056913,0.106041462378658,0.216657752327268,0.0674645285285367,0.0855245065350577,0.0419269529701141,0.129049190561509,0.16837828169552,0.0760362688497176,0.0278491879173794,0.0194669521073024,0.0579524704901247,0.0928958483165946,0.404734222538233
"BOS","2017-2018",25.7107672460467,0.454725430934452,0.352438054163871,0.500166178655624,0.514089296965041,0.804163609013061,0.165541322995212,0.363615298223604,0.0489823789133038,0.132140826843608,0.116491352502076,0.234118785811762,0.0866694039321535,0.107343235101863,0.0371085739818641,0.130333603645366,0.16556848304925,0.0928717448516409,0.0308862593346298,0.0179618503083961,0.054835868125285,0.0769036856012922,0.462337853959662
"BRK","2017-2018",26.0483380539839,0.454053012385946,0.314514052067896,0.495105570999414,0.513163028748584,0.767718731474448,0.158475573241108,0.348629353488717,0.0419809527657755,0.121129556305841,0.115517561693248,0.228682682159315,0.0806641239238147,0.104767667258338,0.032158377575045,0.135033130596141,0.16895099672368,0.0932220887599875,0.0351567088243169,0.01944810659483,0.0662596546309646,0.084461311272188,0.441515238314035
"CHI","2017-2018",24.7237926740417,0.437308989745968,0.291780767228836,0.477639722481709,0.50136596920272,0.759177404669895,0.141485575605902,0.324461473699544,0.0444853943625817,0.121489874200933,0.0975090745878262,0.202567474886025,0.0557701486135241,0.0721837097255294,0.0390923968228339,0.12284495262051,0.15947843653398,0.0689033143759552,0.0266900306356109,0.0181616962519065,0.0453823094528244,0.0791517306847268,0.381979056901046
"CHO","2017-2018",26.8694889565421,0.459454503285388,0.252246416134399,0.496220257073085,0.509997041594796,0.779373641155274,0.163977888880351,0.369347008896648,0.0379925926103276,0.112198872271285,0.124644023334325,0.252286055547384,0.0853505120438596,0.114463106982177,0.046468668842991,0.153555712705874,0.200463607165839,0.0931630926248873,0.0324661258987499,0.0223975096306478,0.0534028396803949,0.077546870811668,0.460173724637024
"CLE","2017-2018",30.614448999382,0.458730690115027,0.310819234391943,0.498572280093194,0.532445205984543,0.785007178806034,0.169267855420223,0.366902453660285,0.0537242018633365,0.14835072730282,0.117628407737315,0.226999230724816,0.0880578202542229,0.107706057844354,0.0385652466871925,0.12916498158723,0.169370962836572,0.0941120991965829,0.0276965046769216,0.0146588622427322,0.0558377776979478,0.0661062702689345,0.477725915889889
"DAL","2017-2018",28.018371321669,0.446294358820546,0.31026107751175,0.482292068138578,0.50393608579617,0.78311523225724,0.152908449266829,0.340319593120176,0.0450021169300095,0.117158378088367,0.107932636410222,0.21975913544844,0.0694045088639677,0.0888316822556524,0.0337468240110073,0.12423175275236,0.159213457127536,0.0907240623297613,0.0357692304128818,0.0163611186197371,0.0502645011957981,0.0794550426094516,0.416602709601074
"DEN","2017-2018",26.4878163442421,0.466141186942185,0.300936658654994,0.509606688490832,0.525045390246289,0.771220040801829,0.163193373674135,0.348395411261405,0.0383208360572154,0.111026276123639,0.123395085576849,0.23941045818189,0.0761481171624324,0.0997848644333258,0.051677830021937,0.147160378054655,0.198279561746727,0.0999849256839707,0.0302855056392515,0.0199607452534502,0.0571756200138233,0.0777029053303263,0.446095608401298
"DET","2017-2018",26.9695386726529,0.444080593861418,0.318459706628668,0.492354974862184,0.505722277825696,0.726970139560494,0.170621076363027,0.369230073862586,0.0378344854369092,0.113377339613279,0.129699535587654,0.256585191442993,0.0527779328872965,0.0733279201851752,0.0422960253951611,0.156650401662929,0.196363281302709,0.0794909749612849,0.0297457466026294,0.0126487247015481,0.0498174739482199,0.0813981598740473,0.440680235911591
"GSW","2017-2018",29.4451871435259,0.490778827708821,0.322546414259029,0.542557905721918,0.552623185829189,0.741500247389096,0.169259455193795,0.351558871994302,0.0481742682275058,0.131372855746117,0.116868474135788,0.216981061014194,0.0648628210052995,0.0823810366646584,0.04118374830761,0.144918837219505,0.183814857316822,0.102166331475816,0.0363738728829881,0.0331090082916766,0.0563139114219801,0.0875230884573731,0.456469556167542
