"team_season","TEAM_PTS","TEAM_PTSAG","TeamCode","Season"
"ATL_2017-2018",100.982761248049,100.770694516039,"ATL","2017-2018"
"BOS_2017-2018",110.744952470434,107.866656457586,"BOS","2017-2018"
"BRK_2017-2018",106.009577969335,109.10662503928,"BRK","2017-2018"
"CHI_2017-2018",99.8621702337043,99.4613306649504,"CHI","2017-2018"
"CHO_2017-2018",109.968142222031,105.39076701418,"CHO","2017-2018"
"CLE_2017-2018",113.067015451557,103.427573316221,"CLE","2017-2018"
"DAL_2017-2018",105.550639780655,100.639654930838,"DAL","2017-2018"
"DEN_2017-2018",110.03029598554,104.242003379426,"DEN","2017-2018"
"DET_2017-2018",105.078815196508,102.568039478839,"DET","2017-2018"
"GSW_2017-2018",112.58438208344,101.522488389861,"GSW","2017-2018"
"HOU_2017-2018",114.483611088395,103.071137614831,"HOU","2017-2018"
"IND_2017-2018",102.342464747076,102.52907410638,"IND","2017-2018"
"LAC_2017-2018",113.553948497714,105.266987170836,"LAC","2017-2018"
"LAL_2017-2018",102.944451832237,104.222182212749,"LAL","2017-2018"
"MEM_2017-2018",108.657297231535,104.295060308411,"MEM","2017-2018"
"MIA_2017-2018",104.395917774337,104.395469839057,"MIA","2017-2018"
"MIL_2017-2018",105.366758697287,101.832650427861,"MIL","2017-2018"
"MIN_2017-2018",110.087146939415,106.116774305898,"MIN","2017-2018"
"NOP_2017-2018",104.608705244096,102.939198326886,"NOP","2017-2018"
"NYK_2017-2018",103.423646731688,98.9713676705594,"NYK","2017-2018"
"OKC_2017-2018",108.659549895821,107.812675788152,"OKC","2017-2018"
"ORL_2017-2018",104.597404450009,103.851337303359,"ORL","2017-2018"
"PHI_2017-2018",113.274854229075,105.027063298266,"PHI","2017-2018"
"PHO_2017-2018",112.860384091465,114.358291229788,"PHO","2017-2018"
"POR_2017-2018",109.552544969905,102.710400514526,"POR","2017-2018"
"SAC_2017-2018",105.282709679658,100.213180357971,"SAC","2017-2018"
"SAS_2017-2018",108.271762523747,101.219623313674,"SAS","2017-2018"
"TOR_2017-2018",107.649435361811,99.6172913592253,"TOR","2017-2018"
"UTA_2017-2018",100.118293295228,92.989770840873,"UTA","2017-2018"
"WAS_2017-2018",109.899024007309,105.521474899562,"WAS","2017-2018"
