"Player","Pos","Season","Age","Tm","Exp","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","Pick"
"Aaron Gordon","F","2018-2019",24,"ORL","4",0.421329576385402,0.326956469886703,0.478080047398348,0.484570916788797,0.71603143229086,0.00814360574008095,0.165864418320255,0.390782258336168,0.0575149993198392,0.169652743131233,0.124070839648452,0.255739115522791,0.0811174554590751,0.11661806948021,0.0452375867283915,0.207956663958684,0.243206839798094,0.0688363528992946,0.0311416155288266,0.024869023266567,0.0462112821661919,0.0583447276834498,0.462289720122791,0
"Aaron Holiday","G","2018-2019",23,"IND","R",0.450793650793651,0.425196850393701,0.468085106382979,0.53,0.786324786324786,0.00514671901889862,0.148225469728601,0.328810020876827,0.0563674321503132,0.132567849686848,0.0918580375782881,0.196242171189979,0.0960334029227559,0.122129436325679,0.0146137787056368,0.0845511482254698,0.100208768267223,0.148225469728601,0.0396659707724427,0.00730688935281837,0.0949895615866388,0.0845511482254698,0.447807933194155,23
"Abdel Nader","F","2018-2019",26,"OKC","1",0.336,0.354,0.321,0.413,0.59,0.00177235772357724,0.091743119266055,0.284403669724771,0.0458715596330275,0.128440366972477,0.055045871559633,0.165137614678899,0.0458715596330275,0.073394495412844,0.0275229357798165,0.110091743119266,0.137614678899083,0.0458715596330275,0.0275229357798165,0.018348623853211,0.0642201834862385,0.0825688073394495,0.275229357798165,58
"Al Horford","C-F","2018-2019",33,"BOS","11",0.467079671670575,0.429,0.491718861002284,0.528333645693361,0.792263387297634,0.00757664774676833,0.145675658908553,0.314985742873117,0.0411392405063291,0.121061371070971,0.109772021515984,0.211149205719235,0.0398922005524473,0.054341532074479,0.0497212273273485,0.185564933140607,0.235876059382218,0.143631843934657,0.0203916815800777,0.0332164524861701,0.0577748678486383,0.0602203350457647,0.364936230983067,0
"Al-Farouq Aminu","F","2018-2019",29,"POR","8",0.431935064935065,0.367972144846797,0.453146853146853,0.551,0.69395371498173,0.00915363519663905,0.10579012345679,0.253598937583001,0.065679012345679,0.182,0.039031374501992,0.0892681526147662,0.0216494023904382,0.0333067729083665,0.0388579017264276,0.209702787878788,0.246439909297052,0.0432396694214876,0.0335274518325366,0.0194636015325671,0.030531208499336,0.0611929824561404,0.301810603738891,0
"Alec Burks","G","2018-2019",28,"UTA","7",0.420224438902743,0.33680701754386,0.461576271186441,0.475719917012448,0.854661835748792,0.00412707978823974,0.163403837541769,0.395592985694508,0.0475173611111111,0.145817831059667,0.122662198912199,0.26267471958585,0.10823888688472,0.116944858420268,0.0234475906607054,0.158829268292683,0.181634083651375,0.0754768766296144,0.0367412442178797,0.00563560678834454,0.0570605187319885,0.0734051662623091,0.490145888594164,0
"Alessandro Gentile","F","2018-2019",27,"HOU","R",0.441860465116279,0.307692307692308,0.5,0.441860465116279,0.703703703703704,0.00317674308655171,0.171945701357466,0.389140271493213,0.0361990950226244,0.117647058823529,0.135746606334842,0.271493212669683,0.085972850678733,0.122171945701357,0.0361990950226244,0.113122171945701,0.149321266968326,0.0950226244343891,0.0361990950226244,0.00904977375565611,0.0904977375565611,0.104072398190045,0.46606334841629,0
"Alex Abrines","G-F","2018-2019",26,"OKC","2",0.393127962085308,0.368356545961003,0.452492857142857,0.507658802177858,0.853005903187721,0.00378735486636017,0.111152919927754,0.290457872556165,0.0603742043335691,0.185328276377071,0.031953151099495,0.064295974773374,0.0426687579876844,0.0560164207428062,0.021580269467915,0.0831822370818063,0.106087879317061,0.0294086208899733,0.0335412246297606,0.00662251655629139,0.0208095455583467,0.100920888457828,0.359162872516556,0
"Alex Caruso  (TW)","G","2018-2019",25,"LAL","1",0.457641791044776,0.299388059701493,0.487044776119403,0.512910447761194,0.712029850746269,0.00478969481858998,0.170216134906183,0.36560842371942,0.0430686406460296,0.118042910300055,0.126909983374238,0.247090491647534,0.0665822183516745,0.0866123030638904,0.0402976803103476,0.132926925817433,0.173303776423086,0.0862956218826696,0.0342807378671522,0.0170216134906183,0.0495606048610561,0.0833663209563772,0.449212255561713,0
"Alex Len","C","2018-2019",26,"ATL","5",0.551498476162235,0.333572164948454,0.56361293170032,0.560942141918888,0.686640926640927,0.00519946195595291,0.165365911001269,0.301318853265971,0,0,0.156363075333722,0.274743174594619,0.107001022142592,0.167510822548177,0.122201012926115,0.243062996775868,0.369203245811201,0.0633835342844324,0.0204894477887095,0.0348891755795621,0.0596016332402471,0.115525008431307,0.453690329040509,0
